Date,Close,High,Low,Open,Volume,HL_Pct,Daily_Return,Slope,ATR,DirectionalEntropy,EMA14,Slope_Next,Slope_Change,Slope_Target,ATR_Next,ATR_Change,ATR_Target,DirectionalEntropy_Next,DirectionalEntropy_Change,DirectionalEntropy_Target,EMA14_Next,EMA14_Change,EMA14_Target,EMA5,EMA20,EMA5_EMA20_Cross,RSI,BB_Upper,BB_Middle,BB_Lower,BB_Width
2023-09-07,2.5789999961853027,2.614000082015991,2.5,2.5160000324249268,140334,4.420321139380111,2.749004222478546,0.00702417342217399,0.13121923149791725,0.9612366044343368,2.631816383541305,0.006782416458968246,-0.00024175696320574442,0,0.1280607073329572,-2.407058880702387,0,0.9957274517963866,0.03449084736204977,1,2.628240868278929,-0.13585732214208884,0,2.6025893444963053,2.640158604889495,0,41.65088841827765,2.8358000801223513,2.631700003147125,2.427599926171899,0.1551089233052039
2023-09-08,2.6050000190734863,2.6589999198913574,2.572000026702881,2.5789999961853027,101228,3.3397271612849964,1.0081435799395688,0.006782416458968246,0.1280607073329572,0.9957274517963866,2.628240868278929,0.0051604428134121,-0.0016219736455561455,0,0.1259135174942506,-1.676696844352064,0,0.9957274517963866,0.0,0,2.625542091182315,-0.10268378097253766,0,2.6033929026886993,2.636810168145113,0,43.34789443613086,2.8189969318844272,2.623800003528595,2.4286030751727625,0.14878948707471867
2023-09-11,2.6080000400543213,2.6389999389648438,2.5409998893737793,2.609999895095825,110879,3.757670555443061,0.11516395235582344,0.0051604428134121,0.1259135174942506,0.9957274517963866,2.625542091182315,0.006057146617344336,0.0008967038039322354,1,0.12963397862302692,2.9547749938335364,1,0.9957274517963866,0.0,0,2.64120314976035,0.5964885739456053,1,2.6049286151439066,2.6340663464221805,0,43.55189611331724,2.79904242416854,2.6157000064849854,2.432357588801431,0.14018612014298434
2023-09-12,2.743000030517578,2.7820000648498535,2.6040000915527344,2.619999885559082,202189,6.489244306115893,5.176379922925345,0.006057146617344336,0.12963397862302692,0.9957274517963866,2.64120314976035,0.008542859947288305,0.0024857133299439694,1,0.1301601119717222,0.4058606811916686,1,0.9612366044343368,-0.03449084736204977,0,2.6463760720265967,0.1958547666701158,1,2.650952420268464,2.6444409830026947,1,51.9388781916835,2.787452401058048,2.613100004196167,2.438747607334286,0.13344487128843327
2023-09-13,2.680000066757202,2.7769999504089355,2.640000104904175,2.746999979019165,191712,5.111934406424491,-2.296754030603798,0.008542859947288305,0.1301601119717222,0.9612366044343368,2.6463760720265967,0.006347256440382518,-0.0021956035069057873,0,0.1310772387927728,0.7046143454838578,1,0.9957274517963866,0.03449084736204977,1,2.6545925883813024,0.3104818110153727,1,2.6606349690980435,2.647827562407886,0,48.33006051982223,2.789843242632095,2.614150011539459,2.438456780446823,0.13441709949091346
2023-09-14,2.7079999446868896,2.822999954223633,2.697000026702881,2.7149999141693115,154082,4.652877773057732,1.0447715385159428,0.006347256440382518,0.1310772387927728,0.9957274517963866,2.6545925883813024,0.004872530633276502,-0.0014747258071060153,0,0.12878600581556163,-1.7480021690367715,0,0.9957274517963866,0.0,0,2.6531802503845636,-0.053203568898683364,0,2.6764232942943256,2.6535582654820766,0,49.99310100318653,2.7999416444577525,2.619950008392334,2.439958372326916,0.13740081718266497
2023-09-15,2.6440000534057617,2.7360000610351562,2.63700008392334,2.7039999961853027,127780,3.7443258363135654,-2.363363832657972,0.004872530633276502,0.12878600581556163,0.9957274517963866,2.6531802503845636,0.0014307724250541012,-0.003441758208222401,0,0.12994414689491535,0.8992755633809536,1,0.9957274517963866,0.0,0,2.6631562070817423,0.3759999606409213,1,2.665615547331471,2.6526479595700465,0,46.323068034096686,2.8013974279577436,2.6211000084877014,2.4408025890176592,0.13757385745389286
2023-09-18,2.7279999256134033,2.744999885559082,2.5999999046325684,2.624000072479248,128308,5.315248712622664,3.1769996411097123,0.0014307724250541012,0.12994414689491535,0.9957274517963866,2.6631562070817423,0.0012175827235964955,-0.00021318970145760567,0,0.13223384646472086,1.7620644134569399,1,0.9957274517963866,0.0,0,2.687802052749652,0.9254374791224189,1,2.6864103400921153,2.6598243372884616,0,51.369166018602584,2.8129707345214983,2.629949998855591,2.4469292631896837,0.13918191277062134
2023-09-19,2.8480000495910645,2.871999979019165,2.7100000381469727,2.7290000915527344,164806,5.6882000720278585,4.398831644054346,0.0012175827235964955,0.13223384646472086,0.9957274517963866,2.687802052749652,0.0030197814270689644,0.001802198703472469,1,0.13385999824508155,1.2297545778451902,1,0.9957274517963866,0.0,0,2.693828451056941,0.22421287687923913,1,2.740273576591765,2.677745833698233,0,57.513894168677346,2.8469982847613973,2.640750002861023,2.434501720960649,0.15620432201224807
2023-09-20,2.7330000400543213,2.8239998817443848,2.693000078201294,2.819000005722046,140309,4.793260213069264,-4.0379216128614726,0.0030197814270689644,0.13385999824508155,0.9957274517963866,2.693828451056941,0.008164837072183672,0.005145055645114707,1,0.1360128579655954,1.6082920579247453,1,0.9957274517963866,0.0,0,2.6826513102621257,-0.4149165768306416,0,2.737849064412617,2.6830081390654796,0,50.879048809798334,2.85588720558963,2.649400007724762,2.4429128098598945,0.15587468654247774
2023-09-21,2.609999895095825,2.759000062942505,2.5950000286102295,2.7320001125335693,99971,6.283526472182261,-4.500554085467612,0.008164837072183672,0.1360128579655954,0.9957274517963866,2.6826513102621257,0.0091494450202354,0.0009846079480517276,1,0.13208337451415184,-2.88905292500914,0,0.9957274517963866,0.0,0,2.676564480083621,-0.2268960619376997,0,2.695232674640353,2.6760549729731316,0,44.91135394167411,2.850433199062135,2.655050003528595,2.4596668079950548,0.14717854298327593
2023-09-22,2.63700008392334,2.683000087738037,2.6019999980926514,2.624000072479248,52641,3.0716756567134222,1.034490034970803,0.0091494450202354,0.13208337451415184,0.9957274517963866,2.676564480083621,0.011501098465133402,0.0023516534448980025,1,0.12729170899317377,-3.627758253908536,0,0.9612366044343368,-0.03449084736204977,0,2.671555874601117,-0.18712814579185238,0,2.6758218110680154,2.672335459730294,0,46.397623331808205,2.8464185877275003,2.660950005054474,2.4754814223814474,0.13940027608239836
2023-09-25,2.6389999389648438,2.6710000038146973,2.6059999465942383,2.6570000648498535,36175,2.4630564124209666,0.07583826233819035,0.011501098465133402,0.12729170899317377,0.9612366044343368,2.671555874601117,0.008439558154933842,-0.0030615403101995602,0,0.12641373046057158,-0.6897374067381475,0,0.8904916399309523,-0.07074496450338452,0,2.6694817445090377,-0.07763753368583105,0,2.6635478537002917,2.669160648228823,-1,46.51273047149358,2.8433011417143033,2.665900003910065,2.4884988661058265,0.13308911627896383
2023-09-26,2.6559998989105225,2.6670000553131104,2.552000045776367,2.638000011444092,57087,4.329819800968952,0.6441818999187721,0.008439558154933842,0.12641373046057158,0.8904916399309523,2.6694817445090377,0.003239554625291022,-0.005200003529642819,0,0.12745559214241273,0.824168132722023,1,0.8904916399309523,0.0,0,2.6820841704364784,0.47209260574128586,1,2.661031868770369,2.6679072435318414,0,47.543942399414426,2.842727321234337,2.6697499990463256,2.4967726768583143,0.12958316115726295
2023-09-27,2.7639999389648438,2.7809998989105225,2.640000104904175,2.6559998989105225,136011,5.1012951201132815,4.06626672307564,0.003239554625291022,0.12745559214241273,0.8904916399309523,2.6820841704364784,0.002758234149806972,-0.00048132047548405006,0,0.13385162182005428,5.018241702957165,1,0.8904916399309523,0.0,0,2.717139605477321,1.3070221817512115,1,2.695354558835194,2.677058928811175,1,53.65679926645198,2.849493764218577,2.68014999628067,2.510806228342763,0.1263688735129831
